アゼルバイジャン語 azeri
アシガバット Ašgabat
ウズベク語 uzbekki
古フランス語 muinaisranska
宗教 uskonto
やどや matkakoti
いるか座 Delfiini
猥褻 hillitön
アイロン silitysrauta
電池 akku
聖書 Raamattu
参加 ottaa osaa
教師 opettaja
いためる wokata
まご pojantytär
ミャンマー Myanmar
もどる palata
比較 vertailu
犯人 lainsuojaton
シレジア語 Sleesian
軽率 ajattelematon
改善 parannus
ジョージア Georgia
オレンジ oranssi
うし sonni
征服 voittaa
文明 korkeakulttuuri
ジャガー jaguaari
こころ hertta
地下道 alikulkutunneli
実験 tehdä koe
輸送 kuljettaa
公衆 julkinen
たましい henki
極夜 kaamos
微分 differentiaali
黒曜石 obsidiaani
つよい voimakas
インシュリン insuliini
電話 puhelin
いや epämiellyttävä
ジルコニウム zirkonium
結合 yhdistäminen
みち tie
駐車 pysäköidä
生化学者 biokemisti
帆船 purjevene
コンピュータウイルス virus
溶液 liuos
信仰 usko
ロシア Venäjä
ひる iltapäivä
おっと aviomies
あぶら rasva silava läski
酢酸 etikkahappo
数字 numero
アンモナイト ammoniitti
パシュトー語 Paštun
連結 linkki
はなむこ sulhanen
光子 fotoni
りんご omena
まご lapsenlapsi
便秘 aiheuttaa ummetus
交渉 neuvottelu
オコジョ kärppä
ためらう vitkastella
錬金術 alkemia
うし lehmä
おばけ aave
グアラニ語 guaranin kieli
スウェーデン語 ruotsi
八角形 kahdeksankulmio
ジョン Johannes
エネルギー energia
微分 derivointi
グアテマラ Guatemala
つり onkiminen
ドーパミン dopamiini
つよい vahva
神経衰弱 neurastenia
甘草 lakritsi
まゆげ kulmakarva
もやいづな kiinnitysköysi
ローマ Rooma
南京鉋 kavahöylä
駐車 pysäköinti
まちがい moka
円周率 pii
おしえる opettaa
侯爵 markiisi
クルド語 kurdin kieli
ことわる kieltää
ひのいり auringonlasku
骨粗鬆症 osteoporoosi
マヨネーズ majoneesi
母語 äidinkieli
クリーンアンドジャーク työntö
盲腸 umpisuoli
中国人 kiinalainen
ねこ kissa
原因 syy
オカピ okapi
六 kuusi
硫黄 rikki
おちる kaatua
手根骨 ranneluu
天気 sää
微分 derivoiminen
慣性 inertia
つり onginta
ヒンディー語 hindi
時空 aika-avaruus
機械 kone
缶詰 säilyketölkki
テヘラン Teheran
絶対零度 nollapiste
脾臓 perna
セレン seleeni
クルド語 kurdi
ほとんど melkein
ふつかよい kohmelo
かみ jouhi
蜂窩 kenno
まご pojanpoika
さぎ haikara
