炒	51
蒙	51
吊	51
薦	51
爽	51
汲	51
喘	51
躊	51
准	51
憐	51
霜	51
隻	50
或	50
陵	50
靖	50
吟	50
曖	50
蒼	50
諒	50
侑	50
班	49
膳	49
俳	49
餌	49
剛	49
篠	49
巾	49
麓	49
但	49
淋	49
翔	49
匠	48
遡	48
吏	48
絆	48
乙	47
款	47
癌	47
呉	47
傘	47
腔	47
乞	47
抹	47
傑	47
蛮	47
綴	47
剥	47
臆	47
溺	47
叉	47
荘	46
笠	46
逢	46
泡	46
庵	46
諭	46
餅	46
塵	46
陛	46
撰	46
曾	46
弄	46
寅	46
俯	46
旋	45
壌	45
雀	45
坪	45
瓦	45
勃	45
閥	45
峠	45
頸	45
藍	45
喩	45
虹	45
灼	45
卿	44
幡	44
昆	44
甚	44
杖	44
侶	44
怯	44
釘	44
鞭	44
殆	44
漆	44
錬	44
髭	44
鐘	43
堆	43
洪	43
辻	43
椎	43
菱	43
莫	43
洒	43
匿	43
租	42
迦	42
侯	42
濁	42
艇	42
伎	42
敦	42
只	42
姻	42
曽	42
堵	42
遵	42
瘦	42
卸	41
篇	41
褒	41
蝶	41
辿	41
桑	41
梶	41
洛	41
藻	41
宵	41
槽	40
惣	40
仇	40
旺	40
餓	40
頬	39
磯	39
笛	39
艶	39
楼	39
憑	39
霞	39
奔	39
憮	39
梗	38
鴨	38
頓	38
閑	38
薪	38
詣	38
菅	38
姑	38
勅	37
栓	37
虜	37
瑞	37
畏	37
萌	37
醒	37
埼	37
遥	37
墜	37
鞍	37
粛	37
爺	37
隼	37
昂	37
耗	37
楓	37
夷	36
筈	36
柿	36
恭	36
后	36
棲	36
剖	36
棋	36
儒	36
擬	36
猶	36
俵	36
駿	36
弊	36
些	36
蔭	36
蛍	36
纏	36
羞	36
胤	36
淳	35
窟	35
繕	35
窒	35
戴	35
而	35
薫	35
膣	35
杏	35
攣	35
焉	35
轟	35
薇	35
都	35
洲	34
妄	34
絹	34
媛	34
賦	34
累	34
搔	34
賜	34
怨	34
灌	34
凌	34
嗣	34
蔽	34
閃	34
砦	34
踵	34
穿	33
賄	33
渇	33
妃	33
烏	33
悶	33
慕	33
粟	33
訣	33
箋	33
棹	33
稜	33
濤	33
噓	32
腺	32
漱	32
泄	32
詐	32
暁	32
咳	32
婿	32
駕	32
濫	32
阜	32
褐	32
搾	32
倣	32
灘	32
竦	32
碧	32
筏	32
礁	31
堕	31
禍	31
謡	31
蜂	31
捻	31
俣	31
翁	31
冥	31
狐	31
愁	31
橘	30
藁	30
罵	30
柚	30
串	30
妾	30
鞄	30
唸	30
栃	30
錦	30
肖	30
董	30
掴	30
蔓	30
迄	30
貪	30
饅	30
裡	30
弖	30
腿	29
斑	29
坑	29
騙	29
噌	29
棺	29
寡	29
螺	29
畔	29
壬	29
狗	29
庸	29
萎	29
詮	29
奢	29
刹	29
羨	29
亮	29
琶	29
蕎	29
拉	29
脆	29
條	29
藪	29
鋒	29
梓	29
琉	28
讐	28
註	28
苑	28
抄	28
屯	28
娯	28
謳	28
嚇	28
逞	28
硫	27
筑	27
岬	27
紗	27
曇	27
韻	27
糞	27
雌	27
彙	27
畠	27
茜	27
滲	27
嗜	27
勲	27
捗	27
嶺	27
淑	27
凸	27
憚	27
荻	27
堺	26
楠	26
錠	26
牡	26
硝	26
倭	26
蒔	26
塁	26
叡	26
嗅	26
鋳	26
柏	26
紺	26
竿	26
厨	26
鷲	26
桁	26
兎	26
毅	26
痢	26
殉	26
牽	26
淀	26
惧	26
伍	26
襞	26
禱	26
熾	26
鮫	26
徨	26
鳩	25
弔	25
吠	25
煎	25
醜	25
碗	25
謄	25
噛	25
曰	25
玩	25
弧	25
嘲	25
函	25
逝	25
拗	25
畿	25
堰	25
糾	25
甦	25
緻	25
蚊	25
儂	25
汎	25
鎧	25
蛙	25
闊	25
屁	25
姪	25
諫	25
笙	25
遽	25
晋	25
斧	25
飴	25
喬	25
綺	24
尼	24
斗	24
椿	24
來	24
舵	24
巴	24
滋	24
齋	24
斯	24
燈	24
廉	24
嵯	24
嘔	24
槌	24
杜	24
傲	24
坦	24
且	24
燭	24
蹄	24
恣	24
梢	24
贔	24
捌	24
肘	23
蛋	23
丞	23
聡	23
國	23
桶	23
帖	23
牌	23
姦	23
學	23
鵜	23
睦	23
塡	23
拷	23
按	23
蠢	23
耽	23
眇	23
曝	22
塀	22
茨	22
舶	22
遼	22
紡	22
隈	22
旭	22
魏	22
踪	22
亦	22
孟	22
允	22
罹	22
舷	22
乖	22
訛	22
彌	22
峙	22
惟	22
楯	22
辣	22
遜	22
悸	22
躰	22
嗚	22
鳶	22
憺	22
猪	21
慧	21
弦	21
躇	21
鯨	21
謂	21
痙	21
屍	21
晒	21
叢	21
肛	21
墟	21
瞥	21
哺	21
疇	21
腑	21
凛	21
囃	21
瀕	21
叛	21
彷	21
會	21
倦	21
脛	21
氣	20
雛	20
咽	20
瓜	20
朋	20
窯	20
掻	20
翠	20
皺	20
嘱	20
麿	20
甥	20
沌	20
煽	20
茅	20
挽	20
輌	20
摯	20
嵌	20
矯	20
棘	20
捩	20
唾	19
撒	19
庇	19
勾	19
垢	19
眞	19
瑛	19
迂	19
臥	19
琵	19
埃	19
蝦	19
盧	19
紘	19
襖	19
廟	19
朽	19
牟	19
葺	19
綜	19
柊	19
裟	19
廣	19
鄭	19
峻	19
譚	19
實	19
趨	19
巷	19
翳	19
轍	19
瓢	19
攘	18
蔣	18
罷	18
曳	18
桟	18
斥	18
卯	18
輿	18
膠	18
凹	18
醤	18
矩	18
套	18
掟	18
几	18
咎	18
屏	18
韋	18
啞	18
犀	18
綸	18
嗄	18
墳	17
杭	17
脊	17
茫	17
芋	17
悼	17
鞘	17
芦	17
鳳	17
趙	17
栖	17
窪	17
楚	17
罠	17
屑	17
采	17
蕉	17
沫	17
臼	17
藝	17
臀	17
慄	17
邁	17
捺	17
升	17
餐	17
劾	17
琥	17
佇	17
鷺	17
憾	17
膏	17
蝕	17
袂	17
寓	17
邑	17
徘	17
眸	17
靭	17
苺	17
驢	17
毘	16
扁	16
榎	16
碁	16
殷	16
圃	16
璃	16
汝	16
訝	16
摺	16
膿	16
帥	16
樺	16
豹	16
蕩	16
痰	16
娼	16
靡	16
痩	16
冶	16
亢	16
氾	16
咄	16
芥	16
瞰	16
袴	16
輯	16
俸	16
悉	16
墾	16
毯	16
詔	16
榴	16
褪	16
獏	16
扈	16
裴	16
韜	16
丼	15
瞑	15
諜	15
冴	15
耶	15
瞼	15
秦	15
柑	15
哨	15
樽	15
疹	15
粥	15
湊	15
礫	15
鱗	15
煉	15
倶	15
軋	15
廓	15
巌	15
軀	15
駈	15
爾	15
痒	15
檜	15
壱	15
魁	15
挺	15
弛	15
瀆	15
薙	15
埒	15
禰	15
濱	15
箍	15
珀	15
詭	15
凧	15
樫	15
躯	15
捷	15
餉	15
疵	14
牢	14
鯉	14
仔	14
酉	14
盃	14
酎	14
峯	14
梯	14
葵	14
蹟	14
厩	14
窄	14
獅	14
秤	14
忽	14
芭	14
瑠	14
緋	14
葱	14
苔	14
魯	14
錆	14
謁	14
賓	14
徊	14
煤	14
悍	14
亨	14
衷	14
椀	14
嚢	14
萱	14
聘	14
煕	14
俠	14
諮	14
戮	14
燦	14
辟	14
斤	14
遁	14
恕	14
揆	13
諏	13
竣	13
醬	13
蕾	13
疼	13
穢	13
鸞	13
巫	13
湛	13
聲	13
畝	13
朔	13
曼	13
爛	13
傳	13
麺	13
茹	13
桔	13
縞	13
猥	13
遙	13
檀	13
撥	13
尹	13
賤	13
嗟	13
嘗	13
吻	13
惰	13
朕	13
拌	13
屠	13
啄	13
箕	13
漑	13
昉	13
醐	13
醍	13
譬	13
蓼	13
擢	13
苅	13
毫	13
儘	13
撓	13
亥	13
睫	13
鰲	13
瀾	13
襷	13
佛	12
隋	12
峨	12
櫓	12
渕	12
祇	12
誦	12
袈	12
欽	12
祠	12
傭	12
櫛	12
卜	12
轢	12
怜	12
苓	12
槻	12
嬌	12
俄	12
逓	12
